Teams listed by FIFA ranking as of May 2010[19],Teams listed by FIFA ranking as of May 201019],Teams listed by FIFA ranking as of May 2010[19],Teams listed by FIFA ranking as of May 2010[19]
,Country,Confederation,Rank
1,Brazil,CONMEBOL,1
2,Spain,UEFA,2
3,Portugal,UEFA,3
4,Netherlands,UEFA,4
5,Italy,UEFA,5
5,Germany,UEFA,5
7,Argentina,CONMEBOL,7
8,England,UEFA,8
9,France,UEFA,9
10,Greece,UEFA,13
11,United States,CONCACAF,14
12,Serbia,UEFA,15
13,Uruguay,CONMEBOL,16
14,Mexico,CONCACAF,17
15,Chile,CONMEBOL,18
16,Cameroon,CAF,19
16,Australia,AFC,20
18,Nigeria,CAF,21
19,Switzerland,UEFA,24
19,Slovenia,UEFA,25
21,Ivory Coast,CAF,27
22,Algeria,CAF,30
23,Paraguay,CONMEBOL,31
24,Ghana,CAF,32
25,Slovakia,UEFA,34
26,Denmark,UEFA,36
27,Honduras,CONCACAF,38
28,Japan,AFC,45
29,South Korea,AFC,47
30,New Zealand,OFC,78
31,South Africa,CAF,83
32,North Korea,AFC,105
