Teams listed by FIFA ranking as of May 1998[12],Teams listed by FIFA ranking as of May 1998[12],Teams listed by FIFA ranking as of May 1998[12],Teams listed by FIFA ranking as of May 1998[12]
,Country,Confederation,Rank
1,Brazil (1994 winner),CONMEBOL,1
2,Germany,UEFA,2
3,Mexico,CONCACAF,4
4,England,UEFA,5
5,Argentina,CONMEBOL,6
6,Norway,UEFA,7
7,FR Yugoslavia,UEFA,8
8,Chile,CONMEBOL,9
9,Colombia,CONMEBOL,10
10,United States,CONCACAF,11
11,Japan,AFC,12
12,Morocco,CAF,13
13,Italy,UEFA,14
14,Spain,UEFA,15
15,France (host),UEFA,18
16,Croatia,UEFA,19
17,South Korea,AFC,20
18,Tunisia,CAF,21
19,Romania,UEFA,22
20,South Africa,CAF,24
21,Netherlands,UEFA,25
22,Denmark,UEFA,27
23,Paraguay,CONMEBOL,29
24,Jamaica,CONCACAF,30
25,Austria,UEFA,31
26,Saudi Arabia,AFC,34
27,Bulgaria,UEFA,35
28,Belgium,UEFA,36
29,Scotland,UEFA,41
30,Iran,AFC,42
31,Cameroon,CAF,49
32,Nigeria,CAF,74
